id;organisation_id;code;designation;reference;validity;remarque
61;3;CTHER0019;THERMOFUSIBLE 216°C MACHINE CARTONS MECASYSTEME MS40T N°2686;C109;1;
62;3;CCOUR0126;COURROIE ORANGE AVEC AGRAFE;SXT103353;1;
63;3;CMODU0009;MODULE 2 ENTREES ANALOGIQUES 0/10 V CAPTEUR PRESSION CENTRALE VIDE;SCHNEIDER TM2AMI2HT;1;
64;3;CCAPT0022;CAPTEUR INDUCTIF M8 CONNECTEUR M12 4 BROCHES PORTEE 4 MM MACHINE CARTONS MECASYSTEME MS40T N°2686;SICK IME08-04NPSZCOS;1;
65;3;CDIAB0003;DIABOLO ALU POUR GUILLOTINE CA-G-602 MACHINE CARTONS MECASYSTEME MS40T N°2686;CA-G-007;1;
66;3;CGUIL0005;GUILLOTINE DISTRIBUTEUR DE COLLE VERSION 2018 MACHINE CARTONS MECASYSTEME MS40T N°2686;CA-G-602;1;
67;3;CFILT0072;FILTRE PISTOLET COMPLET AVEC BOUCHON MACHINE CARTONS MECASYSTEME MS40T N°2686;P012;1;
68;3;CCELL0152;PHOTOCELLULE SICK WTB4S-3P3461 MACHINE A CARTONS MECASYSTEME;1044809;1;
69;3;CVENT0014;VENTOUSE BLANCHE 2.5 SOUFFLET D60 SILICONE AVEC RACCORD MACHINE CARTON MECASYTEME MS40T N°2686;PCGR60SI;1;
70;3;CDETE0007;DETECTEUR CASSE BOYAU 13-17 HANDTMANN;893528;1;
71;3;CJOIN0159;JOINT DE ROTOR VF620-634;865214 SARMABO;1;
72;3;CRESS0125;RESSORT GENOUILLERE PVLH;839279 SARMABO;1;
73;3;CJOIN0161;JOINT DE TREMIE VF620 / VF612;9026973;1;
74;3;CCOUR0105;COURROIE PAPILLON PVLH;DT5/410 16 PU ACIER;1;
75;3;CJOIN0160;JOINT DE TREMIE VF620;9026972 SARMABO ANC. REF891499;1;
76;3;CTORI0120;JOINT TORIQUE 75 SH VF620-634;827492 SARMABO;1;
77;3;CROUL0045;ROULEMENT FREIN BOYAU PVLH;6811 H 2RS EFRAPO;1;
78;3;CDETE0008;DETECTEUR CASSE BOYAUX 19-20;893530 HANDTMANN;1;
79;3;CBOUT0049;BOUTON CHAMPIGNON PVLH;101163572 SCHMERSAL;1;
80;3;CCLE.0001;CLE UNIVERSELLE INOX PVLH;;1;
81;3;CJOIN0169;JOINT D ACCOUPLEMENT FLEXIBLE;QUADRING 853103;1;
82;3;CRACL0015;RACLEUR BANDE INFERIEUR PVLH;855576;1;
83;3;CELEM0001;"ELEMENT DE CONTACT ""NF""  SCHMERSAL PVLH";SYJ7220-LOU-01F-Q/RS 388-6879;1;
84;3;CELEM0002;"ELEMENT DE CONTACT ""NO""SCHMERSAL PVLH";101006540/EF03.3;1;
85;3;CFREI0014;FREIN BOYAU PVLH  DIAM.17;848111;1;
86;3;CFREI0019;FREIN 14 MOU PVLH;9009949;1;
87;3;CFREI0015;FREIN BOYAU PVLH  DIAM.14;848307;1;
88;3;CFREI0018;FREIN 17 MOU PVLH;9009951;1;
89;3;CFREI0021;FREIN BOYAU PVLH DIAM. 12;9023801;1;
90;3;CJOIN0176;JOINT COL DE CYGNE PVLH;841572 SARMABO;1;
91;3;CCOUR0115;COURROIE FREIN BOYAU PVLH;890748 SARMABO  / 16AT5/610;1;
92;3;CCROC0002;CROCHET POUR ACCROCHEUR;865368 SARMABO;1;
93;3;CCOUR0117;COURROIE PVLH;20AT5/375;1;
94;3;CCOUR0119;COURROIE GUID.COURTE INOTEC;35110320720A;1;
95;3;CVIS.0038;VIS PLASTIQUE PVLH;835638;1;
96;3;CCOUR0114;COURROIE POUR BANDE TRANSPORT PVLH;AT5/330 16 M /847161;1;
97;3;CCOUR0118;COURROIE PVLH HANDTMANN;25T5/750DL/847989;1;
98;3;CCART0068;CARTOUCHE DE GRAISSE POLYCLIP;169009 SARMABO;1;
99;3;CBAGU0077;BAGUE IGUS POLYCLIP GLISSIERE PORTIONNEUR;JSM-2528-20;1;
100;3;CCONT0058;CONTACTEUR AB CUTTER ALPINA;CAB6-170EI1114 REF;1;
101;3;CRELA0001;RELAIS DE SECURITE PBV540;518353;1;
102;3;CCONT0057;CONTACT AUXILIAIRE LATERAL GAUCHE O+F CONTACTEUR AB CUTTER ALPINA;ANCIENCAB6-P1-11/nelle 100-ES1-11;1;
103;3;CCONT0073;CONTACT INTERCHANGEABLE ALPINA;100DCE180;1;
104;3;CVIS.0019;VIS ELEVATEUR CUTTER ALPINA PBV540;A257140;1;
105;3;CBAGU0085;BAGUE IR45X52X22 C3;716104;1;
106;3;CROUL0163;ROULEMENT 52/68/22;6202 2RS1 C3 JEUX AUGMENTE;1;
107;3;CROTU0006;ROTULE ELEVATEUR CUTTER ALPINA;GIR17UK;1;
108;3;CBOUT0055;SELECTEUR CUTTER MANUEL;A513296/BACO: N63764B/LEGRAND 200101;1;
109;3;CBOUT0068;INTERRUPTEUR A CAMES COUTEAUX 3 +KG-1 ALPINA;A513294/BACO: N65670/LEGRAND 200162;1;
110;3;CKIT.0060;KIT JOINT VERIN CUTTER ALPINA;;1;
111;3;CJOIN0017;JOINT VIDE CUVE CUTTER ALPINA PBV540;A736173 REP480 PAGE56288;1;
112;3;CJOIN0049;JOINT HUBLOT CUTTER PBV540;256424 REP130 PAGE56279/00;1;
113;3;CJOIN0179;JOINT COUVERCLE COUT. CUTTER;A738121;1;
114;3;CBOUC0003;BOUCHON VIS CUTTER PBV540;A269515  REP.105 PAGE56293;1;
115;3;CSOND0007;SONDE TEMPERATURE PATE CUTTER PBV540;540011;1;
116;3;CBOUT0072;INTERRUPTEUR A CAMES VIDE CUVE / ;A513124;1;
117;3;CRELA0059;RELAI THERMIQUE CUTTER ALPINA;LRD10 4-6A LEISSNER;1;
118;3;CBOUC0005;BOUCHON CUTTER PBV540;269331;1;
119;3;CBOUT0072;INTERRUPTEUR A CAMES VIDE CUVE / COUVERCLE CUTTER ALPINA;A513124;1;
